id,href,agency/id,agency/href,agency/name,agency/culture,name,geometry/type,geometry/coordinates/0,geometry/coordinates/1,modes/0
MkJl1BkelU296agHAOxahA,https://platform.whereismytransport.com/api/stops/MkJl1BkelU296agHAOxahA,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,"G and R Supermarket, Corner Old Kira Road and Kigobe Road",Point,32.61532,0.3562,ShareTaxi
4KwNMUP2k0qhfKgXAHSgHA,https://platform.whereismytransport.com/api/stops/4KwNMUP2k0qhfKgXAHSgHA,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,"GSB Kasubi, Hoima Road",Point,32.55561,0.33251,ShareTaxi
SmjSVRQNmECVb6gHAOxVhQ,https://platform.whereismytransport.com/api/stops/SmjSVRQNmECVb6gHAOxVhQ,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Gapco Petrol Station,Point,32.58638,0.33926,ShareTaxi
RDRBslCBqU6xKKgHAOxYTw,https://platform.whereismytransport.com/api/stops/RDRBslCBqU6xKKgHAOxYTw,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,"Gas Petrol Station, Kitintale",Point,32.62997,0.31749,ShareTaxi
oHALfdNmikSZ36gHAOxV_Q,https://platform.whereismytransport.com/api/stops/oHALfdNmikSZ36gHAOxV_Q,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Gas Station,Point,32.63025,0.33455,ShareTaxi
hYOfb1MyLkuxHKgXAHSdmQ,https://platform.whereismytransport.com/api/stops/hYOfb1MyLkuxHKgXAHSdmQ,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,Gayaza Taxi Park,Point,32.61223,0.44958,ShareTaxi
_dIhivzheUy-06gHAOxY7A,https://platform.whereismytransport.com/api/stops/_dIhivzheUy-06gHAOxY7A,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,"Gaz Petrol Station, Kajjansi",Point,32.54084,0.20787,ShareTaxi
6b9iZZNMX0GONagHAOxZSg,https://platform.whereismytransport.com/api/stops/6b9iZZNMX0GONagHAOxZSg,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,"Gaz Petrol Station, Kajjansi",Point,32.54093,0.20811,ShareTaxi
82rTxwuQukCi_6gXAHSgOA,https://platform.whereismytransport.com/api/stops/82rTxwuQukCi_6gXAHSgOA,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,Ggaba Stage,Point,32.63498,0.25582,ShareTaxi
Px2MF2sxc0atF6gXAHSfCg,https://platform.whereismytransport.com/api/stops/Px2MF2sxc0atF6gXAHSfCg,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,"Ggaba Stage 1, Bunga Road",Point,32.63571,0.25633,ShareTaxi
